id,name,customUrl,total_subs,total_video,total_views,total_likes,total_comment,avg_views,avg_likes,avg_comment
UCsk_mKQyv_xdhahUBqoVhcg,Haruka Karibu,@harukakaribu,119000,30,2455720,203580,7421,81857.33333333333,6786,247.36666666666667
UC6t3-_N8A6ME1JShZHHqOMw,Miyabi Ch. 花咲みやび,@hanasakimiyabi,148000,1322,9569353,1158365,12077,7238.5423600605145,876.2216338880484,9.135400907715583
UCgRqGV1gBf2Esxh0Tz1vxzw,Uyu Ch. 羽継烏有 - UPROAR!! -,@utsugiuyu,107000,927,5144313,608672,6379,5549.42071197411,656.6040992448759,6.881337648327939
UCyxtGMdWlURZ30WSnEjDOQw,Regis Altare Ch. HOLOSTARS-EN,@regisaltare,305000,667,17471525,1711555,29862,26194.190404797602,2566.049475262369,44.77061469265367
UCL_qhgtOy0dy1Agp8vkySQg,Mori Calliope Ch. hololive-EN,@moricalliope,2590000,1542,673187449,35733968,557163,436567.73605706875,23173.779507133593,361.3249027237354
UC47rNmkDcNgbOcM-2BwzJTQ,Millie Parfait【NIJISANJI EN】,@millieparfait,493000,832,60029119,3603032,81394,72150.38341346153,4330.567307692308,97.82932692307692
UC8rcEBzJSleTkf_-agPM20g,IRyS Ch. hololive-EN,@irys,1120000,640,124733397,8727022,122740,194895.9328125,13635.971875,191.78125
UC7Gb7Uawe20QyFibhLl1lzA,Luca Kaneshiro【NIJISANJI EN】,@lucakaneshiro,1040000,784,127916857,9234416,121115,163159.256377551,11778.591836734693,154.48341836734693
UCCK072ns5Bt1nYqX1CoaZ-g,Mythia Batford,@mythiabatfordch,1100000,1043,86917025,5028119,143301,83333.67689357622,4820.823585810163,137.39309683604986
UCSFCh5NL4qXrAy9u-u2lX3g,Kuzuha Channel,@kuzuha,2110000,2843,1445392423,32114752,296791,508403.94759057334,11296.078790010552,104.39359831164263
UC98iRMvRqUxRD6GP4NtRskw,Dizzy Dokuro Ch. 【Phase Connect】,@dizzydokuro,59100,564,4784821,558138,18922,8483.725177304965,989.6063829787234,33.54964539007092
UCR6qhsLpn62WVxCBK1dkLow,Enna Alouette【NIJISANJI EN】,@ennaalouette,649000,705,78574651,4532499,81259,111453.40567375887,6429.076595744681,115.26099290780142
UCmp1vw137-GvWyrBFraXQUw,Maudy Sukaiga【MAHA5】,@maudysukaigach,10500,237,229511,31208,1572,968.4008438818565,131.67932489451476,6.632911392405063
UCVhRMzNWYcg8XDTgB9NFRTw,Henya the Genius,@henyathegenius,288000,297,17634606,1717177,39622,59375.77777777778,5781.740740740741,133.40740740740742
UC61iJVuFVS4YsnPkZe5EmXg,Akemi Ch. 猫町アケミ【AKA Virtual】,@akeminekomachi,2400000,977,388010118,25067149,904097,397144.440122825,25657.26612077789,925.3807574206755
UC060r4zABV18vcahAWR1n7w,Machina X Flayon Ch. HOLOSTARS-EN,@machinaxflayon,159000,771,10456123,1113094,20209,13561.767833981841,1443.7016861219197,26.211413748378728
UC2hx0xVkMoHGWijwr_lA01w,Axel Syrios Ch. HOLOSTARS-EN,@axelsyrios,244000,963,25354579,2157490,40463,26328.742471443406,2240.3842159916926,42.01765316718588
UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니 AYATSUNO YUNI,@ayatsunoyuni,328000,602,158863753,3882668,158838,263893.27740863786,6449.614617940199,263.8504983388704
